,Freq,音階,Scale,Var
0,27.5,ラ0,A0,A0
1,29.135,ラ#0,A#0,As0
2,30.868000000000002,シ0,B0,B0
3,32.703,ド1,C1,C1
4,34.648,ド#1,C#1,Cs1
5,36.708,レ1,D1,D1
6,38.891,レ#1,D#1,Ds1
7,41.203,ミ1,E1,E1
8,43.653999999999996,ファ1,F1,F1
9,46.248999999999995,ファ#1,F#1,Fs1
10,48.998999999999995,ソ1,G1,G1
11,51.913000000000004,ソ#1,G#1,Gs1
12,55.0,ラ1,A1,A1
13,58.27,ラ#1,A#1,As1
14,61.735,シ1,B1,B1
15,65.406,ド2,C2,C2
16,69.296,ド#2,C#2,Cs2
17,73.416,レ2,D2,D2
18,77.782,レ#2,D#2,Ds2
19,82.40700000000001,ミ2,E2,E2
20,87.307,ファ2,F2,F2
21,92.499,ファ#2,F#2,Fs2
22,97.999,ソ2,G2,G2
23,103.82600000000001,ソ#2,G#2,Gs2
24,110.0,ラ2,A2,A2
25,116.541,ラ#2,A#2,As2
26,123.471,シ2,B2,B2
27,130.813,ド3,C3,C3
28,138.591,ド#3,C#3,Cs3
29,146.832,レ3,D3,D3
30,155.563,レ#3,D#3,Ds3
31,164.81400000000002,ミ3,E3,E3
32,174.614,ファ3,F3,F3
33,184.997,ファ#3,F#3,Fs3
34,195.998,ソ3,G3,G3
35,207.65200000000002,ソ#3,G#3,Gs3
36,220.0,ラ3,A3,A3
37,233.082,ラ#3,A#3,As3
38,246.942,シ3,B3,B3
39,261.626,ド4,C4,C4
40,277.183,ド#4,C#4,Cs4
41,293.665,レ4,D4,D4
42,311.127,レ#4,D#4,Ds4
43,329.62800000000004,ミ4,E4,E4
44,349.228,ファ4,F4,F4
45,369.994,ファ#4,F#4,Fs4
46,391.995,ソ4,G4,G4
47,415.305,ソ#4,G#4,Gs4
48,440.0,ラ4,A4,A4
49,466.164,ラ#4,A#4,As4
50,493.88300000000004,シ4,B4,B4
51,523.251,ド5,C5,C5
52,554.365,ド#5,C#5,Cs5
53,587.33,レ5,D5,D5
54,622.254,レ#5,D#5,Ds5
55,659.255,ミ5,E5,E5
56,698.456,ファ5,F5,F5
57,739.9889999999999,ファ#5,F#5,Fs5
58,783.9910000000001,ソ5,G5,G5
59,830.6089999999999,ソ#5,G#5,Gs5
60,880.0,ラ5,A5,A5
61,932.328,ラ#5,A#5,As5
62,987.7669999999999,シ5,B5,B5
63,1046.502,ド6,C6,C6
64,1108.731,ド#6,C#6,Cs6
65,1174.6589999999999,レ6,D6,D6
66,1244.508,レ#6,D#6,Ds6
67,1318.51,ミ6,E6,E6
68,1396.9129999999998,ファ6,F6,F6
69,1479.9779999999998,ファ#6,F#6,Fs6
70,1567.9820000000002,ソ6,G6,G6
71,1661.219,ソ#6,G#6,Gs6
72,1760.0,ラ6,A6,A6
73,1864.655,ラ#6,A#6,As6
74,1975.533,シ6,B6,B6
75,2093.005,ド7,C7,C7
76,2217.4610000000002,ド#7,C#7,Cs7
77,2349.3179999999998,レ7,D7,D7
78,2489.016,レ#7,D#7,Ds7
79,2637.02,ミ7,E7,E7
80,2793.8259999999996,ファ7,F7,F7
81,2959.955,ファ#7,F#7,Fs7
82,3135.9629999999997,ソ7,G7,G7
83,3322.438,ソ#7,G#7,Gs7
84,3520.0,ラ7,A7,A7
85,3729.31,ラ#7,A#7,As7
86,3951.066,シ7,B7,B7
87,4186.009,ド8,C8,C8
